Model,RMSE,MAE,MAPE (%)
LSTM,21679.14992705972,14406.71996523625,0.9435412864755154
GRU,49780.25936676635,40339.81532921969,2.5329138319447426
Bi-LSTM,35037.65895214356,26816.55877422431,1.6723117988284228
