Date,Gold_IDR_gram,USDIDR,IHSG
2015-06-26,501650.5867436229,13303.0,4922.8134765625
2015-06-29,504765.6051569759,13322.0,4882.38818359375
2015-06-30,501767.4216728021,13322.0,4910.466796875
2015-07-01,501448.3257511212,13342.0,4903.87158203125
2015-07-02,497977.2051376854,13318.0,4944.587890625
2015-07-03,497977.2051376854,13260.0,4982.71630859375
2015-07-06,503045.84132601134,13340.0,4916.5498046875
2015-07-07,494253.5832200104,13340.0,4905.8583984375
2015-07-08,498367.4876021915,13325.0,4871.380859375
2015-07-09,496897.937531146,13335.0,4838.095703125
2015-07-10,495149.49926662445,13303.0,4858.84521484375
2015-07-13,493151.7337810907,13278.0,4893.7265625
2015-07-14,492414.829470558,13280.0,4901.6162109375
2015-07-15,490732.40472428495,13305.0,4869.65966796875
2015-07-16,490491.5861967152,13338.0,4869.65966796875
2015-07-22,467915.80772458157,13335.0,4906.49755859375
2015-07-23,471316.73284357064,13400.0,4902.654296875
2015-07-24,468744.92170074565,13430.0,4856.40625
2015-07-27,473451.38006976707,13430.0,4771.099609375
2015-07-28,474598.6836680985,13465.0,4714.57275390625
2015-07-29,466892.22598981526,13290.0,4720.9375
2015-07-30,471003.7239736133,13460.0,4712.30908203125
2015-07-31,474943.0491550639,13492.0,4802.341796875
2015-08-03,470210.59777063,13425.0,4799.9951171875
2015-08-04,471297.6785168872,13440.0,4780.9013671875
2015-08-05,470707.9216664598,13485.0,4850.34326171875
2015-08-06,473780.5308081159,13517.0,4806.376953125
2015-08-07,473646.2511056521,13465.0,4770.11767578125
2015-08-10,478018.6262809425,13465.0,4748.7646484375
2015-08-11,479561.7493599055,13467.0,4622.4111328125
2015-08-12,491299.54299977043,13605.0,4479.31689453125
2015-08-13,493040.8419906898,13745.0,4584.0712890625
2015-08-14,489298.88385108765,13675.0,4585.21240234375
2015-08-17,493243.48273220484,13715.0,4585.21240234375
2015-08-18,496712.3527047925,13830.0,4510.302734375
2015-08-19,501530.9036732954,13828.0,4484.06787109375
